Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Cover Art
18774964,A Man Called Ove,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1476738017""","=""9781476738017""",4,4.37,Atria Books,Hardcover,337,2014,2012,,2019/06/21,,,read,,,,1,0,
38359036,"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,"Morris, Heather",,"=""006287067X""","=""9780062870674""",0,4.28,Harper,Hardcover,272,2018,2018,,2019/06/21,to-read,to-read (#70),to-read,,,,0,0,
21535546,Signs Preceding the End of the World,Yuri Herrera,"Herrera, Yuri",Lisa Dillman,"=""1908276428""","=""9781908276421""",0,3.92,And Other Stories,Paperback,114,2015,2009,,2019/06/19,to-read,to-read (#69),to-read,,,,0,0,
25179,Blankets,Craig Thompson,"Thompson, Craig",,"=""1891830430""","=""9781891830433""",5,4.05,Top Shelf Productions,Paperback,592,2003,2003,2019/06/18,2019/06/18,,,read,"What to say, it's moving, beautiful, and holds you even after you've put it down. Highly recommend to read.",,,1,0,
976,Deception Point,Dan Brown,"Brown, Dan",Orkid,"=""0671027387""","=""9780671027384""",3,3.74,Pocket Books,Mass Market Paperback,556,2002,2001,,2019/06/18,,,read,,,,1,0,
11125,Digital Fortress,Dan Brown,"Brown, Dan",,"=""""","=""""",4,3.68,Corgi books,Paperback,510,2004,1998,,2019/06/18,,,read,,,,1,0,
12898,Death of a Salesman,Arthur  Miller,"Miller, Arthur",,"=""0435233076""","=""9780435233075""",0,3.55,Heinemann Library,Hardcover,117,1994,1949,,2019/06/18,to-read,to-read (#68),to-read,,,,0,0,
17250,The Crucible,Arthur  Miller,"Miller, Arthur",Christopher Bigsby,"=""0142437336""","=""9780142437339""",0,3.60,Penguin Books,Paperback,143,2003,1953,,2019/06/18,to-read,to-read (#67),to-read,,,,0,0,
4395,The Grapes of Wrath,John Steinbeck,"Steinbeck, John",,"=""""","=""""",0,3.99,Penguin Books,Paperback,455,2002,1939,,2019/06/18,to-read,to-read (#66),to-read,,,,0,0,
1078,"The Good Earth (House of Earth, #1)",Pearl S. Buck,"Buck, Pearl S.",Gianny Buditjahya,"=""1416500189""","=""9781416500186""",0,4.00,Howard Publishing Co,Paperback,418,2009,1931,,2019/06/18,to-read,to-read (#64),to-read,,,,0,0,
4407,"American Gods (American Gods, #1)",Neil Gaiman,"Gaiman, Neil",,"=""""","=""""",0,4.11,Headline Review,Paperback,635,2005,2001,,2019/06/18,to-read,to-read (#63),to-read,,,,0,0,
5759,Fight Club,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0393327345""","=""9780393327342""",0,4.19,W.W. Norton & Company (NYC),Paperback,218,2005,1996,,2019/06/18,to-read,to-read (#62),to-read,,,,0,0,
9717,The Unbearable Lightness of Being,Milan Kundera,"Kundera, Milan","Michael Henry Heim, Richmond Hoxie","=""0571224385""","=""9780571224388""",0,4.11,Harper Perennial,Paperback,320,2009,1984,,2019/06/18,to-read,to-read (#61),to-read,,,,0,0,
18373,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,"=""""","=""""",0,4.18,Harvest Books,Paperback,311,2005,1959,,2019/06/18,to-read,to-read (#60),to-read,,,,0,0,
117833,The Master and Margarita,Mikhail Bulgakov,"Bulgakov, Mikhail","Katherine Tiernan O'Connor, Ellendea Proffer, Diana Lewis Burgin, Hans Fronius","=""0679760806""","=""9780679760801""",0,4.30,Vintage International,Paperback,372,1996,1967,,2019/06/18,to-read,to-read (#59),to-read,,,,0,0,
76620,"Watership Down (Watership Down, #1)",Richard  Adams,"Adams, Richard",,"=""038039586X""","=""9780380395866""",0,4.07,Avon Books,Mass Market Paperback,478,1975,1972,,2019/06/18,to-read,to-read (#57),to-read,,,,0,0,
149267,The Stand,Stephen King,"King, Stephen",Bernie Wrightson,"=""0385199570""","=""9780385199575""",0,4.34,Doubleday Books,Hardcover,1152,1990,1978,,2019/06/18,to-read,to-read (#56),to-read,,,,0,0,
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",0,4.10,Harper,Mass Market Paperback,417,2003,1967,,2019/06/18,to-read,to-read (#55),to-read,,,,0,0,
154798,Superman: Red Son,Mark Millar,"Millar, Mark","Kilian Plunkett, Andrew C. Robinson, Walden Wong, Dave   Johnson, Paul Mounts, Ken Lopez","=""1401201911""","=""9781401201913""",0,4.17,DC Comics,Paperback,160,2004,2003,,2019/06/18,to-read,to-read (#54),to-read,,,,0,0,
59952,300,Frank Miller,"Miller, Frank",Lynn Varley,"=""1569714029""","=""9781569714027""",4,3.97,Dark Horse,Hardcover,88,1999,1999,,2019/06/18,,,read,,,,1,0,
22416,"Transmetropolitan, Vol. 1: Back on the Street",Warren Ellis,"Ellis, Warren","Darick Robertson, Darick Robertston, Rodney Ramos, Garth Ennis, Nathan Eyring, Patrick Stewart","=""1563894459""","=""9781563894459""",0,4.21,Vertigo,Paperback,72,1998,1998,,2019/06/18,to-read,to-read (#53),to-read,,,,0,0,
138398,"Days Gone Bye (The Walking Dead, #1)",Robert Kirkman,"Kirkman, Robert","Tony Moore, Frank Darabont, Sina Grace, Andreas Mergenthaler, Charles Adlard, Hardy Hellstern, Charlie Adlard, Cliff Rathburn, Stefano Gaudiano, Rus Wooton, Marc-Oliver Frisch, Michael Schuster, Dave    Stewart, Frank Neubauer","=""1582406723""","=""9781582406725""",4,4.27,Image Comics,Paperback,144,2013,2004,,2019/06/18,,,read,,,,1,0,
59980,Batman: Year One,Frank Miller,"Miller, Frank","David Mazzucchelli, Richmond Lewis, Dennis O'Neil, Todd Klein","=""1401207529""","=""9781401207526""",0,4.23,DC Comics,Paperback,144,2007,1987,,2019/06/18,to-read,to-read (#52),to-read,,,,0,0,
15704307,"Saga, Volume 1",Brian K. Vaughan,"Vaughan, Brian K.",Fiona Staples,"=""1607066017""","=""9781607066019""",0,4.17,Image Comics,Paperback,160,2012,2012,,2019/06/18,to-read,to-read (#51),to-read,,,,0,0,
